url;female;female%;male;male%
Alles-vegetarisch.de;15;6%;19;5%
Amazon / Amazon Fresh / Amazon Pantry;95;37%;145;40%
BoFrost.de;39;15%;54;15%
bringmeister.de;14;5%;39;11%
Edeka24.de;22;9%;74;21%
Shop.Eismann.de;15;11%;26;13%
food.de;13;5%;42;12%
gourmondo.de;13;5%;31;9%
HelloFresh.de;43;17%;74;21%
Kochhaus.de;11;4%;25;7%
Lebensmittel.de;24;9%;34;9%
MarleySpoon.de;11;4%;23;6%
MyTime.de;15;6%;32;9%
shop.rewe.de;58;22%;94;26%
music.amazon.de;136;42%;215;46%
music.apple.com;49;15%;72;16%
Deezer.com;36;11%;61;13%
Play.google.com;31;10%;72;16%
iTunes;39;12%;69;15%
Juke;9;3%;22;5%
de.napster.com;13;4%;32;7%
Qobuz.com;2;1%;14;3%
SoundCloud.com;10;3%;32;7%
Spotify.com;168;52%;212;46%
Tidal.com;3;1%;14;3%
music.youtube.com;40;12%;78;17%
aol.de;18;2%;43;4%
Ask.com;17;2%;44;4%
Bing.com;128;12%;233;22%
duckduckgo.com;26;3%;99;9%
ecosia.org;26;5%;27;5%
Google.de;966;94%;975;92%
search.com;25;2%;28;3%
WebCrawler.com;6;1%;21;2%
de.yahoo.com;102;10%;127;12%
Yandex.com;5;1%;10;2%
adticket.de;12;4%;19;6%
Eventim.de;222;76%;192;65%
konzertkasse.de;10;3%;19;6%
reservix.de;25;9%;29;10%
StubHub.de;2;1%;13;4%
Ticketonline.de;38;13%;43;15%
Ticketmaster.de;48;16%;52;18%
Tickets.de;15;5%;31;10%
Viagogo.de;12;4%;19;6%
alternate.de;16;2%;59;6%
Amazon.de;840;82%;847;80%
apple.com;26;3%;62;6%
bonprix.de;227;22%;116;11%
conrad.de;50;5%;116;11%
cyberport.de;18;2%;64;6%
docmorris.de;79;8%;79;8%
hm.com;185;18%;78;7%
lidl.de;192;19%;156;15%
mediamarkt.de;138;13%;235;22%
notebooksbilliger.de;46;4%;75;7%
otto.de;254;25%;245;23%
saturn.de;88;9%;155;15%
tchibo.de;166;16%;97;9%
zalando.de;233;23%;187;18%
comdirect.de;26;3%;42;4%
Commerzbank.de;73;7%;90;8%
Consorsbank.de;4;0%;9;1%
Deutsche-Bank.de;53;5%;56;5%
dkb.de;30;3%;44;4%
ing.de;50;5%;60;6%
Mercedes-Benz-Bank.de;0;0%;2;0%
Postbank.de;63;6%;63;6%
Santander.de;6;1%;15;1%
Sparda-B.de;51;5%;37;3%
Sparkasse;422;41%;393;37%
Targobank.de;24;2%;21;2%
UniCredit;10;1%;9;1%
vr.de;143;14%;144;13%
vwfs.de;7;1%;8;1%
bild.de;16;27%;41;29%
express.de;7;12%;18;13%
faz.net;6;10%;29;21%
fr-online.de;5;8%;15;11%
handelsblatt.com;9;15%;30;22%
mopo.de;4;7%;20;14%
rp-online.de;3;7%;8;10%
sueddeutsche.de;12;20%;32;23%
taz.de;4;7%;14;10%
waz.de;1;2%;16;12%
welt.de;12;20%;32;23%
zeit.de;9;15%;20;14%
focus.de;16;34%;22;24%
instyle-abo.de;9;19%;9;10%
psychologieheute.de;12;26%;15;16%
spiegel.de;18;38%;35;38%
wiwo.de;8;17%;7;8%
zeit.de;9;19%;15;16%
Amazon Prime Video;332;70%;389;67%
Apple TV+;18;7%;27;9%
Chili;11;2%;18;3%
Google Play Store;51;11%;91;16%
iTunes;37;8%;62;11%
Maxdome;44;9%;74;13%
Microsoft Store;8;3%;13;4%
Netflix;338;71%;362;62%
Pantaflix;7;1%;13;2%
PlayStation Store;31;6%;57;10%
Sky Go;59;12%;120;21%
Telekom Entertain TV;22;5%;51;9%
Unitymedia;22;5%;48;8%
Videoload;6;1%;17;3%
YouTube;94;20%;178;31%
Allianz;32;9%;52;15%
AXA;23;7%;20;6%
CosmosDirekt;6;2%;15;4%
DA Direkt;5;1%;5;1%
Debeka;5;1%;6;2%
DEVK;19;6%;17;5%
Ergo;12;4%;5;1%
Generali;11;3%;3;1%
Gothaer;9;3%;5;1%
Huk24;26;8%;37;11%
Huk-Coburg;63;19%;44;13%
Provinzial;6;2%;5;1%
Verti;7;2%;14;4%
VHV;19;6%;26;8%
Württembergische;11;3%;7;2%
Alamo;6;5%;11;6%
Avis;18;14%;29;16%
Buchbinder;8;6%;9;5%
Budget;9;7%;10;6%
Enterprise Rent-A-Car;10;8%;21;12%
Europcar;34;27%;48;27%
Green Motion;3;2%;5;3%
Hertz;16;13%;30;17%
Rentalcars.com;6;5%;7;4%
Sixt;34;27%;66;38%
Starcar;6;5%;7;4%
sunnycars;12;9%;10;6%
Thrifty;4;3%;4;2%
Ab-in-den-urlaub;34;16%;34;16%
alltours;22;10%;19;9%
ebookers;2;1%;9;4%
eDreams;1;1%;5;5%
Expedia;26;12%;40;19%
FTI Touristik;26;12%;25;12%
HolidayCheck;24;11%;32;15%
lastminute;6;3%;7;3%
l'tur;5;2%;9;4%
Nix-wie-weg.de;2;1%;8;4%
Opodo;6;3%;13;6%
TUI;39;19%;57;27%
weg.de;11;5%;13;6%
Badoo;7;28%;11;26%
Bumble;3;12%;4;10%
C-date;1;4%;11;26%
Coffee meets Bagel;2;8%;5;12%
eDarling;3;12%;5;12%
ElitePartner;6;24%;10;24%
Grindr;0;0%;2;8%
Happn;2;8%;4;10%
Jaumo;3;12%;6;14%
JOYclub;1;4%;5;12%
LoveScout24;5;20%;9;21%
Lovoo;6;24%;9;21%
NEU.DE;1;4%;10;24%
Parship;9;36%;7;17%
Tinder;6;24%;6;14%
Zoosk;2;8%;2;5%
billigflieger.de;19;7%;13;4%
Booking.com;31;24%;47;29%
Expedia;44;16%;53;17%
fluege.de;54;20%;47;15%
idealo;11;4%;16;5%
Kayak;2;2%;10;6%
kiwi;4;1%;2;1%
lastminute;10;4%;11;4%
Opodo;27;10%;35;12%
Skyscanner;22;17%;16;10%
swoodoo;11;4%;21;7%
TripAdvisor;13;5%;22;7%
Agoda;9;2%;15;3%
Airbnb;110;22%;76;15%
Booking.com;288;59%;294;58%
ehotel;4;1%;3;1%
Expedia;79;16%;94;19%
FeWo-direkt;39;8%;36;7%
Homestay;2;0%;9;2%
Hostelworld;8;2%;7;1%
Hotels.com;26;5%;34;7%
HRS;29;6%;69;14%
lastminute;13;3%;13;3%
Opodo;21;4%;29;6%
TripAdvisor;23;5%;27;5%
trivago;55;11%;82;16%
TUI;32;7%;53;10%
